"project","version","class","lignes_code","lignes_comm","nb_methodes","nb_interfaces","nb_sous_classes","nb_classes_abstract","jax_nb_methodes_abstraites","DJEA","NDJEA","ICU","ICNU","ICD","ICC","encapsulation_rate_methods","encapsulation_rate_fields","encapsulation_rate_total","dms_score","CohesionRate"
"Math-1","buggy","CanberraDistance","43","4","1","0","0","0","0","0","0","1","0","0","0","0.0000","1.0000","0.5000","0.0484","0.0000"
"Math-1","buggy","EventFilterTest","269","17","15","0","0","0","0","0","12","13","0","0","0","0.0000","1.0000","0.3750","0.0508","0.0000"
"Math-1","buggy","KalmanFilter","387","56","11","0","0","0","0","0","8","13","0","0","0","0.0000","1.0000","0.4500","0.0519","0.7273"
"Math-1","buggy","EmpiricalDistribution","852","84","38","0","3","1","2","9","6","23","0","0","0","0.0000","1.0000","0.3333","0.0372","0.8438"
"Math-1","buggy","TestFunction","","","","","","","","","","","","","","0.0000","1.0000","0.3750","0.0052","0.0000"
"Math-1","buggy","Median","59","6","0","0","1","0","0","0","0","2","0","0","0","1.0000","1.0000","1.0000","0.0000","1.0000"
"Math-1","buggy","HermiteRuleFactory","179","29","1","0","1","0","0","0","1","3","0","0","0","1.0000","1.0000","1.0000","0.2419","0.0000"
"Math-1","buggy","AbstractUnivariateSolver","61","5","0","0","1","1","0","0","0","1","0","0","0","1.0000","1.0000","1.0000","0.0000","1.0000"
"Math-1","buggy","ConstantGenerator","","","","","","","","","","","","","","0.0000","1.0000","0.0833","0.0000","0.5455"
"Math-1","buggy","SingularValueSolverTest","139","12","5","0","0","0","0","0","0","3","0","0","0","0.0000","1.0000","0.2857","0.1794","0.6000"
"Math-1","buggy","KurtosisTest","66","5","3","0","1","0","0","0","0","4","0","0","0","0.0000","1.0000","0.2500","0.0817","0.0000"
"Math-1","buggy","RotationTest","552","9","18","0","0","0","0","0","12","6","0","0","0","0.1667","1.0000","0.1667","0.2068","0.0000"
"Math-1","buggy","Sphere","","","","","","","","","","","","","","0.0000","0.0000","0.0000","0.0097","0.0000"
"Math-1","buggy","MismatchedEquations","","","","","","","","","","","","","","1.0000","1.0000","1.0000","0.0000","1.0000"
"Math-1","buggy","IterativeLegendreGaussIntegratorTest","170","7","7","0","0","0","0","0","0","10","0","0","0","0.1667","1.0000","0.1667","0.0862","0.0000"
"Math-1","buggy","SimplexOptimizer","234","21","6","0","1","0","0","0","0","11","0","0","0","0.7500","1.0000","0.8000","0.0629","0.7500"
"Math-1","buggy","SineCosine","","","","","","","","","","","","","","0.0000","1.0000","0.3750","0.0000","0.0000"
"Math-1","buggy","NonPositiveDefiniteMatrixException","74","9","3","0","1","0","0","0","0","3","0","0","0","0.0000","1.0000","0.5000","0.0000","0.6667"
"Math-1","buggy","SynchronizedSummaryStatistics","359","40","34","0","1","0","0","0","9","3","0","0","0","0.0000","1.0000","0.0286","0.0137","0.0000"
"Math-1","buggy","WithModelAndJacobian","41","3","1","1","0","0","1","0","0","2","0","0","0","0.0000","1.0000","0.0000","0.0000",""
"Math-1","buggy","CertifiedDataAbstractTest","160","8","7","0","0","1","1","2","0","15","0","0","0","0.5714","1.0000","0.7000","0.1157","0.6667"
"Math-1","buggy","JennrichSampsonFunction","","","","","","","","","","","","","","0.0000","1.0000","0.6667","0.1000","0.0000"
"Math-1","buggy","ClusterAlgorithmComparison","304","2","10","0","2","0","0","0","0","33","0","0","0","0.6667","1.0000","0.8333","0.0929","0.0000"
"Math-1","buggy","MyInteger","","","","","","","","","","","","","","0.0000","1.0000","0.2500","0.0032","1.0000"
